Siruta,Localitate_X,Judet,Localitate
1017,Municipiul Alba Iulia,ab,MUNICIPIUL ALBA IULIA
1071,Ciugud,ab,CIUGUD
1151,Oras Abrud,ab,ORAS ABRUD
1213,Municipiul Aiud,ab,MUNICIPIUL AIUD
1348,Municipiul Blaj,ab,MUNICIPIUL BLAJ
1455,Oras Campeni,ab,ORAS CAMPENI
1696,Oras Cugir,ab,ORAS CUGIR
1794,Oras Ocna Mures,ab,ORAS OCNA MURES
1874,Municipiul Sebes,ab,MUNICIPIUL SEBES
1936,Oras Zlatna,ab,ORAS ZLATNA
2130,Albac,ab,ALBAC
2309,Almasu Mare,ab,ALMASU MARE
2381,Arieseni,ab,ARIESENI
2577,Avram Iancu,ab,AVRAM IANCU
2915,Oras Baia De Aries,ab,ORAS BAIA DE ARIES
2988,Berghin,ab,BERGHIN
3039,Bistra,ab,BISTRA
3397,Blandiana,ab,BLANDIANA
3459,Bucium,ab,BUCIUM
3761,Cenade,ab,CENADE
3805,Cergau,ab,CERGAU
3841,Ceru-Bacainti,ab,CERU-BACAINTI
3958,Cetatea De Balta,ab,CETATEA DE BALTA
4008,Ciuruleasa,ab,CIURULEASA
4106,Calnic,ab,CALNIC
4142,Cricau,ab,CRICAU
4188,Craciunelu De Jos,ab,CRACIUNELU DE JOS
4240,Daia Romana,ab,DAIA ROMANA
4268,Dostat,ab,DOSTAT
4302,Farau,ab,FARAU
4366,Galda De Jos,ab,GALDA DE JOS
4482,Garbova,ab,GARBOVA
4525,Garda De Sus,ab,GARDA DE SUS
4703,Hoparta,ab,HOPARTA
4767,Horea,ab,HOREA
4927,Ighiu,ab,IGHIU
4981,Intregalde,ab,INTREGALDE
5103,Jidvei,ab,JIDVEI
5167,Livezile,ab,LIVEZILE
5210,Lopadea Noua,ab,LOPADEA NOUA
5309,Lunca Muresului,ab,LUNCA MURESULUI
5336,Lupsa,ab,LUPSA
5577,Metes,ab,METES
5700,Mihalt,ab,MIHALT
5755,Miraslau,ab,MIRASLAU
5826,Mogos,ab,MOGOS
6048,Noslac,ab,NOSLAC
6119,Ocolis,ab,OCOLIS
6164,Ohaba,ab,OHABA
6217,Pianu,ab,PIANU
6271,Poiana Vadului,ab,POIANA VADULUI
6397,Ponor,ab,PONOR
6468,Posaga,ab,POSAGA
6547,Radesti,ab,RADESTI
6592,Rametea,ab,RAMETEA
6627,Ramet,ab,RAMET
6761,Rosia Montana,ab,ROSIA MONTANA
6930,Rosia De Secas,ab,ROSIA DE SECAS
6976,Salciua,ab,SALCIUA
7044,Salistea,ab,SALISTEA
7099,Sasciori,ab,SASCIORI
7197,Scarisoara,ab,SCARISOARA
7348,Sancel,ab,SANCEL
7384,Santimbru,ab,SANTIMBRU
7446,Sohodol,ab,SOHODOL
7767,Stremt,ab,STREMT
7810,Sibot,ab,SIBOT
7865,Sona,ab,SONA
7945,Spring,ab,SPRING
8014,Sugag,ab,SUGAG
8096,Oras Teius,ab,ORAS TEIUS
8158,Unirea,ab,UNIREA
8229,Vadu Motilor,ab,VADU MOTILOR
8354,Valea Lunga,ab,VALEA LUNGA
8425,Vidra,ab,VIDRA
8826,Vintu De Jos,ab,VINTU DE JOS
9019,Cut,ab,CUT
9026,Bucerdea Granoasa,ab,BUCERDEA GRANOASA
9262,Municipiul Arad,ar,MUNICIPIUL ARAD
9280,Fantanele,ar,FANTANELE
9333,Livada,ar,LIVADA
9360,Sofronea,ar,SOFRONEA
9397,Vladimirescu,ar,VLADIMIRESCU
9459,Oras Chisineu-Cris,ar,ORAS CHISINEU-CRIS
9495,Oras Curtici,ar,ORAS CURTICI
9538,Oras Ineu,ar,ORAS INEU
9574,Oras Lipova,ar,ORAS LIPOVA
9627,Oras Nadlac,ar,ORAS NADLAC
9654,Oras Pancota,ar,ORAS PANCOTA
9690,Oras Sebis,ar,ORAS SEBIS
9743,Almas,ar,ALMAS
9798,Apateu,ar,APATEU
